,nr cam,mp,parter,et1-2,et3+,etaj max,typ_decom,bloc nou,Price/Surface,Price,WebPage
102,1,30.61,0,1,0,1,1,1,1502.78,46000,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/theodor-pallady/garsoniera-de-vanzare-XBJ300009?lista=2349706&listing=1
103,2,55,0,1,0,2,1,1,972.73,53500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X9OM00006?lista=2349706&listing=1
104,3,100,0,0,1,3,1,1,1800,180000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/titan/apartament-de-vanzare-3-camere-XC790000O?lista=2349706&listing=1
105,4,85,0,0,1,6,1,1,1618.82,137600,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/tineretului/apartament-de-vanzare-4-camere-XBQK00004?lista=2349706&listing=1
106,3,81.45,0,0,1,3,0,1,1289.13,105000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/bucurestii-noi/apartament-de-vanzare-3-camere-XAFQ00017?lista=2349706&listing=1
107,2,70,0,1,0,2,1,1,800,56000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/drumul-taberei/apartament-de-vanzare-2-camere-X8VF0000Q?lista=2349706&listing=1
108,1,37,0,0,1,7,1,1,1727.03,63900,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/vacaresti/garsoniera-de-vanzare-XBQK00006?lista=2349706&listing=1
109,3,80.23,0,0,1,6,1,1,1100,88253,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/militari/apartament-de-vanzare-3-camere-XBHO0000A?lista=2349706&listing=1
110,1,42,0,1,0,1,1,1,1543.17,64813,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/parcul-carol/garsoniera-de-vanzare-XBVU00001?lista=2349706&listing=1
111,3,82,0,0,1,5,1,1,2185.82,179237,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/1-mai/apartament-de-vanzare-3-camere-X9TB00005?lista=2349706&listing=1
112,2,57.67,0,1,0,2,1,1,1597.21,92111,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XC8R0000K?lista=2349706&listing=1
113,5,168,0,0,1,5,1,1,2976.19,500000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-5-camere-X5QB101CL?lista=2349706&listing=1
114,4,115,0,0,1,3,1,1,1633.04,187800,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/penthouse-de-vanzare-4-camere-XBS000003?lista=2349706&listing=1
115,3,90.97,0,0,1,7,1,1,1808.29,164500,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-sau-de-inchiriat-3-camere-X9R9000CU?lista=2349706&listing=1
116,2,57.98,0,0,1,6,1,1,1477.8,85683,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XC8R00014?lista=2349706&listing=1
117,3,72.85,0,0,1,5,1,1,1784.49,130000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-sau-de-inchiriat-3-camere-X9R9000CR?lista=2349706&listing=1
118,2,56,0,1,0,2,1,1,962.5,53900,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/berceni/apartament-de-vanzare-2-camere-X53U0000G?lista=2349706&listing=1
119,2,57.98,0,0,1,3,1,1,1526.39,88500,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XC8R00015?lista=2349706&listing=1
120,2,57.67,0,0,1,3,1,1,1548.52,89303,http://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-2-camere-XC8R00009?lista=2349706&listing=1
121,2,58.42,0,0,1,5,1,1,1848.68,108000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/pipera/apartament-de-vanzare-sau-de-inchiriat-2-camere-X9R9000B8?lista=2349706&listing=1
122,1,18,1,0,0,0,0,0,1277.78,23000,https://www.imobiliare.ro/vanzare-garsoniere/bucuresti/brancoveanu/garsoniera-de-vanzare-XV0J00R85?lista=2349706&listing=1
123,2,46,0,1,0,1,1,1,1209.78,55650,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aparatorii-patriei/apartament-de-vanzare-2-camere-XA3B0003N?lista=2349706&listing=1
124,2,104,1,0,0,0,0,1,1519.23,158000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/floreasca/apartament-de-vanzare-2-camere-XV0H00N7R?lista=2349706&listing=1
125,3,82.66,0,0,1,3,1,1,2141.3,177000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/herastrau/apartament-de-vanzare-3-camere-X5QB101KA?lista=2349706&listing=1
126,2,61,0,0,1,8,1,1,1934.43,118000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/aviatiei/apartament-de-vanzare-2-camere-XV0J00CGF?lista=2349706&listing=1
127,3,163,0,0,1,10,1,1,1711.66,279000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/unirii/apartament-de-vanzare-3-camere-XC1B0000C?lista=2349706&listing=1
128,3,100,0,0,1,4,1,1,2690,269000,https://www.imobiliare.ro/vanzare-apartamente/bucuresti/romana/apartament-de-vanzare-3-camere-XV0K009EF?lista=2349706&listing=1
